Date,Temperature,City
1/1/2024,2.6,Kiev
1/1/2024,5.6,Paris
1/1/2024,15.6,Antibes
1/2/2024,20.38,Kiev
1/2/2024,23.38,Paris
1/2/2024,33.38,Antibes
1/3/2024,-6.64,Kiev
1/3/2024,-3.64,Paris
1/3/2024,6.36,Antibes
1/4/2024,25.82,Kiev
1/4/2024,28.82,Paris
1/4/2024,38.82,Antibes
1/5/2024,26.37,Kiev
1/5/2024,29.37,Paris
1/5/2024,39.37,Antibes
1/6/2024,27.12,Kiev
1/6/2024,30.12,Paris
1/6/2024,40.12,Antibes
1/7/2024,11.5,Kiev
1/7/2024,14.5,Paris
1/7/2024,24.5,Antibes
1/8/2024,14.39,Kiev
1/8/2024,17.39,Paris
1/8/2024,27.39,Antibes
1/9/2024,17.5,Kiev
1/9/2024,20.5,Paris
1/9/2024,30.5,Antibes
1/10/2024,10.21,Kiev
1/10/2024,13.21,Paris
1/10/2024,23.21,Antibes
1/11/2024,-6.54,Kiev
1/11/2024,-3.54,Paris
1/11/2024,6.46,Antibes
1/12/2024,25.25,Kiev
1/12/2024,28.25,Paris
1/12/2024,38,Antibes
1/13/2024,3.71,Kiev
1/13/2024,6.71,Paris
1/13/2024,16.71,Antibes
1/14/2024,-0.87,Kiev
1/14/2024,2.13,Paris
1/14/2024,12.13,Antibes
1/15/2024,26.08,Kiev
1/15/2024,29.08,Paris
1/15/2024,38,Antibes
1/16/2024,24.37,Kiev
1/16/2024,27.37,Paris
1/16/2024,34.37,Antibes
1/17/2024,15.18,Kiev
1/17/2024,18.18,Paris
1/17/2024,25.18,Antibes
1/18/2024,20.9,Kiev
1/18/2024,23.9,Paris
1/18/2024,30.9,Antibes
1/19/2024,5.66,Kiev
1/19/2024,8.66,Paris
1/19/2024,15.66,Antibes
1/20/2024,25.3,Kiev
1/20/2024,28.3,Paris
1/20/2024,35.3,Antibes
1/21/2024,12.39,Kiev
1/21/2024,15.39,Paris
1/21/2024,22.39,Antibes
1/22/2024,23.84,Kiev
1/22/2024,26.84,Paris
1/22/2024,33.84,Antibes
1/23/2024,14.99,Kiev
1/23/2024,17.99,Paris
1/23/2024,24.99,Antibes
1/24/2024,25.86,Kiev
1/24/2024,28.86,Paris
1/24/2024,35.86,Antibes
1/25/2024,8.6,Kiev
1/25/2024,11.6,Paris
1/25/2024,18.6,Antibes
1/26/2024,1.17,Kiev
1/26/2024,4.17,Paris
1/26/2024,11.17,Antibes
1/27/2024,25.57,Kiev
1/27/2024,28.57,Paris
1/27/2024,35.57,Antibes
1/28/2024,-5.92,Kiev
1/28/2024,-2.92,Paris
1/28/2024,4.08,Antibes
1/29/2024,3.74,Kiev
1/29/2024,6.74,Paris
1/29/2024,13.74,Antibes
1/30/2024,27.39,Kiev
1/30/2024,30.39,Paris
1/30/2024,37.39,Antibes
1/31/2024,-8.42,Kiev
1/31/2024,-5.42,Paris
1/31/2024,1.58,Antibes
2/1/2024,17.83,Kiev
2/1/2024,20.83,Paris
2/1/2024,27.83,Antibes
2/2/2024,6.49,Kiev
2/2/2024,9.49,Paris
2/2/2024,16.49,Antibes
